epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,9446.32,0.38801,0.73598,0.28634,1.07054,0.9872,0.98333,0.99263,0.92518,0.9872,0.98333,0.99263,0.9,0.38486,0.65957,0.21852,1.18918,0.0007427,0.0007427,0.0007427
129,9520.19,0.39712,0.75232,0.29398,1.08264,0.98283,0.99048,0.99383,0.92622,0.98283,0.99048,0.99383,0.90346,0.38111,0.65911,0.21323,1.17925,0.0007328,0.0007328,0.0007328
130,9593.4,0.38804,0.74091,0.2895,1.06839,0.98747,0.99048,0.99374,0.9239,0.98747,0.99048,0.99374,0.90414,0.3778,0.65759,0.21038,1.17392,0.0007229,0.0007229,0.0007229
131,9667.02,0.39413,0.74081,0.28639,1.08478,0.98555,0.99286,0.99334,0.91869,0.98555,0.99286,0.99334,0.90189,0.38919,0.66023,0.21684,1.19577,0.000713,0.000713,0.000713
132,9740.9,0.39518,0.73486,0.28862,1.07909,0.98789,0.99048,0.99365,0.92179,0.98789,0.99048,0.99365,0.90084,0.38277,0.66152,0.21678,1.18788,0.0007031,0.0007031,0.0007031
133,9814.19,0.38928,0.73997,0.28004,1.07082,0.98308,0.99286,0.99422,0.92561,0.98308,0.99286,0.99422,0.90021,0.37809,0.6604,0.2163,1.17859,0.0006932,0.0006932,0.0006932
134,9887.44,0.39118,0.73663,0.28926,1.06894,0.98117,0.99261,0.99381,0.92564,0.98117,0.99261,0.99381,0.90419,0.38436,0.66921,0.21615,1.18329,0.0006833,0.0006833,0.0006833
135,9960.68,0.3791,0.72325,0.28299,1.06717,0.99044,0.98686,0.9938,0.92385,0.99044,0.98686,0.9938,0.9002,0.38184,0.65666,0.21926,1.18269,0.0006734,0.0006734,0.0006734
136,10034.3,0.38604,0.73291,0.28508,1.07139,0.98581,0.99276,0.99326,0.92995,0.98581,0.99276,0.99326,0.90265,0.37488,0.65252,0.21214,1.17013,0.0006635,0.0006635,0.0006635
137,10107.5,0.37948,0.71438,0.27877,1.06436,0.98415,0.99048,0.99364,0.92964,0.98415,0.99048,0.99364,0.90357,0.37845,0.66125,0.2147,1.17856,0.0006536,0.0006536,0.0006536
138,10181.1,0.3824,0.72782,0.2798,1.06647,0.98281,0.99048,0.99355,0.93041,0.98281,0.99048,0.99355,0.90615,0.38085,0.65916,0.2124,1.18164,0.0006437,0.0006437,0.0006437
139,10254.2,0.38175,0.73067,0.27802,1.06431,0.98784,0.99048,0.99425,0.93114,0.98784,0.99048,0.99425,0.90472,0.38223,0.64888,0.20636,1.18764,0.0006338,0.0006338,0.0006338
140,10327.7,0.37705,0.7257,0.28051,1.0587,0.98944,0.99048,0.99352,0.931,0.98944,0.99048,0.99352,0.90315,0.38021,0.65924,0.20897,1.18446,0.0006239,0.0006239,0.0006239
141,10401.1,0.37731,0.72588,0.27882,1.0631,0.98803,0.99048,0.99393,0.93171,0.98803,0.99048,0.99393,0.90171,0.37847,0.661,0.21046,1.18623,0.000614,0.000614,0.000614
142,10474.6,0.36645,0.70795,0.26994,1.05094,0.98925,0.99048,0.99398,0.92837,0.98925,0.99048,0.99398,0.89983,0.3849,0.6595,0.21651,1.19586,0.0006041,0.0006041,0.0006041
143,10548.2,0.38242,0.71301,0.27386,1.06281,0.99035,0.99286,0.9941,0.92963,0.99035,0.99286,0.9941,0.90434,0.38167,0.65738,0.21349,1.18766,0.0005942,0.0005942,0.0005942
144,10622.1,0.37447,0.71266,0.27525,1.05806,0.99024,0.99286,0.9938,0.92961,0.99024,0.99286,0.9938,0.9006,0.38196,0.66636,0.21924,1.2036,0.0005843,0.0005843,0.0005843
145,10696.1,0.38074,0.72247,0.27738,1.06672,0.99025,0.99286,0.99396,0.92784,0.99025,0.99286,0.99396,0.90071,0.37978,0.66126,0.22163,1.19866,0.0005744,0.0005744,0.0005744
146,10769.9,0.36835,0.71604,0.27117,1.05162,0.9905,0.99275,0.99396,0.93146,0.9905,0.99275,0.99396,0.899,0.37992,0.66821,0.21757,1.2031,0.0005645,0.0005645,0.0005645
147,10843.4,0.37754,0.72843,0.27553,1.06255,0.98575,0.98832,0.99361,0.93054,0.98575,0.98832,0.99361,0.90095,0.37586,0.66315,0.21559,1.1964,0.0005546,0.0005546,0.0005546
148,10917,0.37789,0.72475,0.26791,1.06706,0.98576,0.9891,0.99323,0.92722,0.98576,0.9891,0.99323,0.89884,0.37198,0.66378,0.20883,1.19008,0.0005447,0.0005447,0.0005447
149,10990.6,0.37143,0.70983,0.27251,1.05124,0.98557,0.99286,0.99349,0.93008,0.98557,0.99286,0.99349,0.89841,0.37513,0.66902,0.21053,1.1883,0.0005348,0.0005348,0.0005348
150,11064,0.37343,0.70986,0.26653,1.05846,0.98764,0.98571,0.99346,0.93022,0.98764,0.98571,0.99346,0.90017,0.3764,0.66409,0.21179,1.18482,0.0005249,0.0005249,0.0005249
151,11137.8,0.36994,0.71152,0.2729,1.05565,0.98759,0.98571,0.99382,0.93218,0.98759,0.98571,0.99382,0.90127,0.37189,0.66925,0.21555,1.17825,0.000515,0.000515,0.000515
152,11211,0.36547,0.70427,0.26423,1.04805,0.98752,0.9881,0.994,0.93197,0.98752,0.9881,0.994,0.90155,0.36365,0.66527,0.20612,1.16016,0.0005051,0.0005051,0.0005051
153,11284.3,0.36942,0.70947,0.26229,1.05164,0.98865,0.98571,0.99394,0.93125,0.98865,0.98571,0.99394,0.90065,0.3652,0.6616,0.20949,1.16166,0.0004952,0.0004952,0.0004952
154,11357.8,0.36491,0.69584,0.27106,1.05032,0.98953,0.98571,0.99381,0.92852,0.98953,0.98571,0.99381,0.90004,0.37686,0.66397,0.2066,1.17725,0.0004853,0.0004853,0.0004853
155,11431.1,0.36746,0.70888,0.2688,1.05159,0.99013,0.99048,0.99424,0.92679,0.99013,0.99048,0.99424,0.89994,0.37326,0.66021,0.20296,1.17233,0.0004754,0.0004754,0.0004754
156,11504.7,0.36909,0.7167,0.26791,1.05148,0.98939,0.98571,0.9941,0.92774,0.98939,0.98571,0.9941,0.89709,0.3725,0.66788,0.20742,1.17793,0.0004655,0.0004655,0.0004655
157,11578.5,0.36453,0.70461,0.26603,1.04929,0.98988,0.98571,0.99417,0.93089,0.98988,0.98571,0.99417,0.89929,0.3704,0.66826,0.20273,1.17241,0.0004556,0.0004556,0.0004556
158,11651.6,0.36589,0.70297,0.2724,1.04893,0.98793,0.9881,0.99416,0.9312,0.98793,0.9881,0.99416,0.89891,0.37041,0.67041,0.20629,1.16892,0.0004457,0.0004457,0.0004457
159,11724.9,0.35951,0.69144,0.26079,1.04524,0.98578,0.99002,0.99397,0.92911,0.98578,0.99002,0.99397,0.89879,0.37339,0.66559,0.20642,1.17345,0.0004358,0.0004358,0.0004358
160,11797.9,0.35811,0.69425,0.26156,1.04431,0.98808,0.98649,0.99382,0.93101,0.98808,0.98649,0.99382,0.90004,0.37212,0.66611,0.20629,1.17614,0.0004259,0.0004259,0.0004259
161,11870.4,0.357,0.68984,0.26138,1.05004,0.98349,0.99271,0.99345,0.92667,0.98349,0.99271,0.99345,0.89992,0.37083,0.66893,0.2056,1.17348,0.000416,0.000416,0.000416
162,11943.8,0.3584,0.69808,0.2605,1.04316,0.98578,0.99043,0.99357,0.93007,0.98578,0.99043,0.99357,0.89934,0.36851,0.67053,0.2003,1.16918,0.0004061,0.0004061,0.0004061
163,12017.8,0.35664,0.697,0.2606,1.04503,0.98797,0.99048,0.99393,0.93328,0.98797,0.99048,0.99393,0.90172,0.36911,0.66828,0.19773,1.16578,0.0003962,0.0003962,0.0003962
164,12091.7,0.34793,0.68942,0.25562,1.03915,0.99046,0.98924,0.99403,0.93575,0.99046,0.98924,0.99403,0.90203,0.37135,0.66161,0.20169,1.17138,0.0003863,0.0003863,0.0003863
165,12166,0.35006,0.68834,0.25808,1.03657,0.99047,0.99028,0.99411,0.93455,0.99047,0.99028,0.99411,0.90221,0.37195,0.66427,0.19841,1.1783,0.0003764,0.0003764,0.0003764
166,12240,0.35379,0.68348,0.25634,1.04208,0.99047,0.99015,0.99363,0.93135,0.99047,0.99015,0.99363,0.89914,0.36958,0.66173,0.19841,1.17486,0.0003665,0.0003665,0.0003665
167,12314.1,0.35455,0.68445,0.25668,1.04178,0.98811,0.99048,0.99376,0.9311,0.98811,0.99048,0.99376,0.89957,0.36982,0.66053,0.19808,1.17781,0.0003566,0.0003566,0.0003566
168,12387.8,0.34655,0.67455,0.25396,1.03244,0.98787,0.9881,0.99379,0.93041,0.98787,0.9881,0.99379,0.89956,0.3701,0.6606,0.20221,1.18029,0.0003467,0.0003467,0.0003467
169,12461.7,0.34737,0.67653,0.25297,1.03364,0.98812,0.99013,0.994,0.93177,0.98812,0.99013,0.994,0.90374,0.37126,0.65297,0.19955,1.18367,0.0003368,0.0003368,0.0003368
170,12534.4,0.35375,0.69129,0.26273,1.03723,0.98762,0.9881,0.99388,0.93226,0.98762,0.9881,0.99388,0.90253,0.37279,0.65538,0.19884,1.18623,0.0003269,0.0003269,0.0003269
171,12608.5,0.35602,0.68763,0.2597,1.04345,0.98802,0.9881,0.99396,0.93236,0.98802,0.9881,0.99396,0.90051,0.37296,0.65578,0.19958,1.18915,0.000317,0.000317,0.000317
172,12681.8,0.35184,0.68604,0.25453,1.03785,0.98484,0.99286,0.99385,0.93488,0.98484,0.99286,0.99385,0.89938,0.3683,0.65559,0.19901,1.18608,0.0003071,0.0003071,0.0003071
173,12755,0.34576,0.67903,0.25293,1.03142,0.98814,0.99184,0.99395,0.93419,0.98814,0.99184,0.99395,0.90009,0.36716,0.65564,0.19911,1.18429,0.0002972,0.0002972,0.0002972
174,12828.9,0.34908,0.68366,0.24976,1.03232,0.98812,0.99001,0.99392,0.9363,0.98812,0.99001,0.99392,0.89987,0.36571,0.66101,0.19849,1.18114,0.0002873,0.0002873,0.0002873
175,12902.2,0.34887,0.67636,0.25076,1.03444,0.98352,0.99457,0.99382,0.93619,0.98352,0.99457,0.99382,0.9015,0.36658,0.66162,0.19849,1.18086,0.0002774,0.0002774,0.0002774
176,12976.1,0.34883,0.67223,0.25626,1.03034,0.98635,0.99048,0.99384,0.93529,0.98635,0.99048,0.99384,0.90112,0.36875,0.66511,0.19766,1.18415,0.0002675,0.0002675,0.0002675
177,13049.8,0.34481,0.67471,0.25314,1.02978,0.98815,0.99267,0.994,0.93375,0.98815,0.99267,0.994,0.90008,0.3705,0.66356,0.19569,1.19046,0.0002576,0.0002576,0.0002576
178,13123.4,0.34085,0.65421,0.24499,1.02707,0.988,0.99286,0.99415,0.93389,0.988,0.99286,0.99415,0.89894,0.3683,0.66526,0.19477,1.18904,0.0002477,0.0002477,0.0002477
179,13197.1,0.34474,0.68206,0.25126,1.03046,0.98815,0.99238,0.99421,0.93313,0.98815,0.99238,0.99421,0.89769,0.37029,0.66681,0.1948,1.18864,0.0002378,0.0002378,0.0002378
180,13271.4,0.34771,0.68177,0.25716,1.03608,0.98541,0.99286,0.99424,0.93504,0.98541,0.99286,0.99424,0.89688,0.36769,0.6677,0.1941,1.18125,0.0002279,0.0002279,0.0002279
181,13345.1,0.34089,0.66585,0.24506,1.02884,0.99047,0.98952,0.99439,0.93371,0.99047,0.98952,0.99439,0.8989,0.36494,0.66656,0.19551,1.1756,0.000218,0.000218,0.000218
182,13418.4,0.34268,0.65729,0.24361,1.03197,0.99284,0.99045,0.99431,0.9343,0.99284,0.99045,0.99431,0.90079,0.36291,0.66243,0.19551,1.16712,0.0002081,0.0002081,0.0002081
183,13491.9,0.33898,0.66693,0.25604,1.02549,0.99244,0.99048,0.99426,0.93281,0.99244,0.99048,0.99426,0.89967,0.36359,0.66113,0.19654,1.16264,0.0001982,0.0001982,0.0001982
184,13566.1,0.33285,0.65508,0.24279,1.0285,0.99054,0.99048,0.99426,0.9354,0.99054,0.99048,0.99426,0.90004,0.36357,0.66022,0.19684,1.16231,0.0001883,0.0001883,0.0001883
185,13640,0.33377,0.66518,0.24039,1.02687,0.9917,0.99048,0.99431,0.9373,0.9917,0.99048,0.99431,0.90204,0.36326,0.66257,0.19684,1.16706,0.0001784,0.0001784,0.0001784
186,13713.8,0.34154,0.66653,0.2453,1.02724,0.9912,0.9881,0.99429,0.9361,0.9912,0.9881,0.99429,0.89988,0.36553,0.66313,0.19782,1.17092,0.0001685,0.0001685,0.0001685
187,13787.3,0.32922,0.65225,0.23255,1.02146,0.9908,0.9881,0.99424,0.93593,0.9908,0.9881,0.99424,0.89983,0.36529,0.66395,0.19656,1.17323,0.0001586,0.0001586,0.0001586
188,13861.6,0.3404,0.65491,0.24037,1.02033,0.98991,0.99048,0.99412,0.93557,0.98991,0.99048,0.99412,0.90101,0.36616,0.66419,0.19747,1.17821,0.0001487,0.0001487,0.0001487
189,13934.3,0.32939,0.66699,0.24094,1.0195,0.98939,0.99048,0.99399,0.93453,0.98939,0.99048,0.99399,0.90007,0.36669,0.66585,0.19819,1.18027,0.0001388,0.0001388,0.0001388
190,14008.3,0.32818,0.65196,0.24056,1.01924,0.98911,0.99048,0.99398,0.93639,0.98911,0.99048,0.99398,0.89955,0.36554,0.66586,0.19866,1.17775,0.0001289,0.0001289,0.0001289
191,14083.3,0.26642,0.51751,0.18415,0.88076,0.98841,0.99048,0.99416,0.93154,0.98841,0.99048,0.99416,0.89829,0.36654,0.67266,0.19928,1.17935,0.000119,0.000119,0.000119
192,14157,0.25867,0.51122,0.17684,0.8752,0.98822,0.99048,0.99434,0.93029,0.98822,0.99048,0.99434,0.89686,0.36646,0.67488,0.19859,1.17815,0.0001091,0.0001091,0.0001091
193,14231.2,0.26402,0.50098,0.17486,0.87528,0.98561,0.99048,0.99439,0.93026,0.98561,0.99048,0.99439,0.89816,0.36759,0.67667,0.19918,1.18179,9.92e-05,9.92e-05,9.92e-05
194,14304.3,0.25812,0.50251,0.17182,0.86844,0.98541,0.99048,0.99427,0.93081,0.98541,0.99048,0.99427,0.89694,0.36738,0.67851,0.1997,1.18198,8.93e-05,8.93e-05,8.93e-05
195,14378,0.2629,0.494,0.17257,0.86695,0.98725,0.99048,0.99434,0.93176,0.98725,0.99048,0.99434,0.89868,0.36872,0.6789,0.20066,1.1844,7.94e-05,7.94e-05,7.94e-05
196,14452,0.25032,0.49503,0.16635,0.85778,0.98581,0.9926,0.99427,0.93191,0.98581,0.9926,0.99427,0.8994,0.36975,0.67844,0.19834,1.18382,6.95e-05,6.95e-05,6.95e-05
197,14525.7,0.25064,0.4924,0.16748,0.85583,0.98581,0.9926,0.99411,0.93311,0.98581,0.9926,0.99411,0.89939,0.36963,0.67869,0.19853,1.18356,5.96e-05,5.96e-05,5.96e-05
198,14599.6,0.24744,0.49264,0.16472,0.85657,0.98561,0.99048,0.99411,0.93362,0.98561,0.99048,0.99411,0.89989,0.36876,0.67863,0.20069,1.18357,4.97e-05,4.97e-05,4.97e-05
199,14673.1,0.24303,0.49061,0.16343,0.85212,0.98561,0.99048,0.99419,0.93376,0.98561,0.99048,0.99419,0.90099,0.36759,0.67834,0.1977,1.18163,3.98e-05,3.98e-05,3.98e-05
200,14746.7,0.24852,0.49272,0.16515,0.8446,0.98564,0.99048,0.99427,0.93405,0.98564,0.99048,0.99427,0.90172,0.36794,0.67865,0.19842,1.18222,2.99e-05,2.99e-05,2.99e-05
